ip,requestRate,uniqueEndpoints,errorRate,uaLen,adminHits,label
217.44.89.41,354,10,0.011,91,40,0
125.181.180.176,271,10,0.018,11,22,0
115.245.0.52,325,10,0.009,91,38,0
89.138.250.221,189,10,0.011,21,22,0
136.130.160.173,182,10,0.022,98,17,0
163.86.201.129,192,10,0.010,91,25,0
250.229.89.192,194,10,0.015,72,20,0
213.138.104.40,197,10,0.030,21,23,0
116.58.237.50,384,10,0.013,72,41,0
174.22.186.12,351,10,0.017,21,39,0
157.56.122.11,294,10,0.024,97,24,0
155.82.180.230,330,10,0.021,72,32,0
138.168.16.184,248,10,0.008,98,19,0
246.108.85.210,276,10,0.014,97,35,0
70.75.202.40,254,10,0.020,98,23,0
69.201.15.197,271,10,0.007,97,25,0
227.49.78.184,391,10,0.028,21,41,0
26.68.36.69,167,10,0.006,21,22,0
221.208.166.36,354,10,0.020,21,31,0
192.246.105.77,261,10,0.008,21,34,0
204.129.165.207,181,10,0.022,21,15,0
54.83.76.61,315,10,0.022,97,42,0
251.101.56.163,266,10,0.023,72,27,0
196.54.82.194,318,10,0.019,72,34,1
13.173.241.134,207,10,0.029,97,27,0
212.165.30.165,326,10,0.018,72,28,0
222.59.92.121,216,10,0.014,11,19,0
93.46.54.97,293,10,0.017,72,27,0
111.153.116.33,196,10,0.010,21,17,0
57.37.37.239,267,10,0.026,72,18,0
196.134.226.236,301,10,0.020,11,32,0
18.174.197.255,175,10,0.046,72,12,0
22.71.234.170,399,10,0.005,21,45,0
149.191.136.173,212,10,0.019,11,24,0
229.136.198.93,212,10,0.019,11,23,0
237.175.33.95,263,10,0.027,11,29,0
226.139.46.32,171,10,0.029,72,17,0
200.175.21.9,230,10,0.026,21,21,0
34.213.160.128,322,10,0.028,91,37,0
253.40.34.52,306,10,0.023,97,34,0
162.213.100.56,261,10,0.023,91,28,0
85.195.28.169,186,10,0.000,98,18,0
183.9.246.195,340,10,0.015,97,43,0
143.149.106.171,346,10,0.026,11,42,0
190.205.45.130,353,10,0.025,11,36,0
93.102.243.241,339,10,0.032,91,41,0
79.63.130.79,232,10,0.022,91,20,0
196.226.180.217,179,10,0.006,72,18,0
211.184.233.245,178,10,0.011,21,21,0
148.182.185.165,355,10,0.028,11,38,0
163.160.73.127,306,10,0.020,91,38,0
44.192.109.98,353,10,0.011,21,36,0
81.105.68.35,268,10,0.019,98,30,0
134.61.72.208,217,10,0.023,98,19,0
198.46.63.197,381,10,0.026,91,42,0
131.83.38.116,306,10,0.036,97,36,0
161.15.239.200,392,10,0.018,11,50,0
65.72.102.32,244,10,0.029,21,19,0
43.119.39.253,363,10,0.014,98,32,0
58.25.227.150,288,10,0.028,11,41,0
185.11.76.122,329,10,0.018,21,27,0
108.27.78.231,331,10,0.048,11,22,0
118.100.145.24,341,10,0.018,97,34,0
54.184.108.55,379,10,0.021,97,43,0
84.37.72.163,193,10,0.031,91,24,0
62.14.158.108,341,10,0.021,21,31,0
238.45.142.149,270,10,0.015,72,24,0
37.211.20.5,300,10,0.010,21,37,0
168.234.194.20,263,10,0.023,91,21,0
246.185.194.92,306,10,0.010,98,42,0
252.110.91.92,226,10,0.022,72,20,0
73.239.213.186,281,10,0.007,72,29,0
81.182.172.38,323,10,0.031,21,35,0
86.43.68.69,191,10,0.026,11,24,0
7.102.252.236,156,10,0.032,11,13,0
221.231.243.187,318,10,0.006,21,23,0
36.42.78.149,215,10,0.009,91,30,0
242.212.161.210,278,10,0.029,91,29,0
164.161.4.135,163,10,0.012,21,15,0
71.4.133.33,360,10,0.031,72,39,0
222.91.184.49,382,10,0.018,21,47,0
56.182.167.72,395,10,0.018,91,45,0
203.173.19.61,302,10,0.030,98,23,0
185.46.146.82,395,10,0.018,11,36,0
178.201.240.99,230,10,0.013,97,32,0
201.147.185.124,284,10,0.032,97,34,0
159.186.253.227,190,10,0.016,11,15,0
11.25.127.243,193,10,0.010,72,18,0
232.185.86.8,244,10,0.004,98,27,0
2.143.253.113,168,10,0.024,91,21,0
101.202.188.242,383,10,0.018,91,36,0
237.92.126.219,268,10,0.030,72,26,0
132.132.38.52,316,10,0.028,72,28,0
4.38.58.18,313,10,0.013,97,38,0
42.155.24.1,277,10,0.018,21,23,0
131.40.147.164,267,10,0.019,97,29,0
102.207.88.227,203,10,0.015,21,22,0
254.201.15.209,184,10,0.022,72,19,0
83.99.114.88,306,10,0.013,11,38,0
114.177.70.165,399,10,0.018,98,33,0
150.76.74.185,189,10,0.042,98,17,0
144.159.190.69,228,10,0.018,97,15,0
83.96.212.108,351,10,0.040,91,36,0
254.18.31.80,169,10,0.018,11,15,0
216.201.194.211,300,10,0.020,72,38,0
111.105.200.123,355,10,0.017,21,33,0
109.96.243.116,318,10,0.028,91,36,0
88.36.36.115,229,10,0.022,72,26,0
98.197.153.13,190,10,0.011,72,17,0
108.236.39.13,314,10,0.022,72,31,1
14.103.90.119,316,10,0.025,72,28,1
2.139.182.57,224,10,0.031,91,25,0
250.234.13.190,193,10,0.047,97,23,0
82.181.35.114,361,10,0.019,97,36,0
53.194.112.150,244,10,0.020,98,24,0
75.15.133.161,197,10,0.020,97,19,0
253.134.148.31,365,10,0.019,72,34,0
187.106.217.161,342,10,0.026,91,35,0
175.64.44.207,388,10,0.021,91,46,0
144.121.34.65,370,10,0.030,72,38,0
6.165.40.79,167,10,0.012,98,23,0
217.119.236.160,171,10,0.012,11,13,0
41.58.196.141,234,10,0.034,11,26,1
151.253.99.14,378,10,0.016,91,31,0
41.108.129.186,152,10,0.020,98,8,0
171.102.110.253,329,10,0.012,21,36,0
75.37.187.154,382,10,0.010,21,38,0
75.165.107.141,267,10,0.026,72,21,0
206.126.102.220,387,10,0.008,91,34,0
153.147.113.70,194,10,0.021,98,21,0
85.225.2.9,318,10,0.016,91,53,0
135.14.36.155,231,10,0.013,98,23,0
1.176.23.38,231,10,0.022,98,28,0
78.65.182.48,345,10,0.026,97,35,0
112.147.150.176,306,10,0.016,72,32,0
203.28.179.116,324,10,0.006,11,21,0
204.229.252.108,390,10,0.021,97,38,0
59.188.243.55,269,10,0.026,72,27,0
51.255.144.146,361,10,0.008,72,41,0
9.24.158.237,188,10,0.021,98,18,0
158.17.87.111,383,10,0.008,11,43,0
85.141.70.62,250,10,0.016,91,23,0
210.25.226.135,159,10,0.019,97,17,0
145.161.100.98,260,10,0.012,11,21,0
13.100.17.90,196,10,0.015,98,29,0
228.193.31.116,398,10,0.030,98,35,0
1.217.158.84,246,10,0.016,72,23,0
245.155.60.238,166,10,0.006,91,14,1
230.17.157.245,208,10,0.019,72,20,0
100.115.105.184,382,10,0.018,98,36,0
65.222.139.10,372,10,0.013,21,40,0
103.218.18.204,340,10,0.024,91,27,0
69.199.99.109,371,10,0.019,98,38,0
8.173.238.196,205,10,0.005,21,22,0
113.208.64.149,231,10,0.022,11,25,0
130.94.55.21,253,10,0.016,91,16,0
68.134.137.185,293,10,0.020,11,30,0
